Name,Year,Animation,Comedy,Crime,Fantasy,Action,Thriller,Romance,Family,Adventure,Mystery,Horror,Musical,War,Western,Sci-Fi,Film-Noir
Antonia's Line Antonia ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Once Upon a Time... When We Were Colored ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Last Summer in the Hamptons ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Angels and Insects ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
White Squall ,1996,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Dunston Checks In ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Black Sheep ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nick of Time ,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
"Journey of August King, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mary Reilly ,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Vampire in Brooklyn ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Beautiful Girls ,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Broken Arrow ,1996,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
In the Bleak Midwinter ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Hate Haine, La ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shopping ,1994,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Heidi Fleiss: Hollywood Madam ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
City Hall ,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Bottle Rocket ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mr. Wrong ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Unforgettable ,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Happy Gilmore ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bridges of Madison County, The ",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Nobody Loves Me Keiner liebt mich ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Muppet Treasure Island ,1996,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Catwalk ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Headless Body in Topless Bar ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Braveheart ,1995,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Taxi Driver ,1976,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Rumble in the Bronx ,1995,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
Before and After ,1996,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Margaret's Museum ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Happiness Is in the Field ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anne Frank Remembered ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Young Poisoner's Handbook, The ",1995,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
If Lucy Fell ,1996,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Steal Big, Steal Little ",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Race the Sun ,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Boys of St. Vincent, The ",1993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Boomerang ,1992,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Chungking Express ,1994,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
"Star Maker, The Uomo delle stelle, L' ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Flirting With Disaster ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"NeverEnding Story III, The ",1994,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
"Silence of the Palace, The Saimt el Qusur ",1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jupiter's Wife ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pie in the Sky ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Angela ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Frankie Starlight ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Jade ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nueba Yol ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sonic Outlaws ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Down Periscope ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
From the Journals of Jean Seberg ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Man of the Year ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Neon Bible, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Target ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Up Close and Personal ,1996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Birdcage, The ",1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shadows Cienie ,1988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gospa ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Brothers McMullen, The ",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bad Boys ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"Amazing Panda Adventure, The ",1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Basketball Diaries, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Awfully Big Adventure, An ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Amateur ,1994,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Apollo  ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rob Roy ,1995,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
"Addiction, The ",1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Batman Forever ,1995,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
Belle de jour ,1967,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beyond Rangoon ,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Blue in the Face ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canadian Bacon ,1994,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Casper ,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Clockers ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Congo ,1995,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
Crimson Tide ,1995,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Crumb ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Desperado ,1995,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
Devil in a Blue Dress ,1995,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
Die Hard: With a Vengeance ,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
"Doom Generation, The ",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Feast of July ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
First Knight ,1995,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
Free Willy : The Adventure Home ,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Hackers ,1995,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
Jeffrey ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Johnny Mnemonic ,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
Judge Dredd ,1995,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
Jury Duty ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kids ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Living in Oblivion ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lord of Illusions ,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Love & Human Remains ,1993,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mad Love ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Mallrats ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mighty Morphin Power Rangers: The Movie ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Moonlight and Valentino ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Mute Witness ,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nadja ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Net, The ",1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
Nine Months ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Party Girl ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Prophecy, The ",1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Reckless ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Safe ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
"Scarlet Letter, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Show, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Showgirls ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Smoke ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Something to Talk About ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Species ,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
"Stars Fell on Henrietta, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Strange Days ,1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
"Umbrellas of Cherbourg, The Parapluies de Cherbourg, Les ",1964,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Tie That Binds, The ",1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Three Wishes ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Total Eclipse ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Under Siege : Dark Territory ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Unstrung Heroes ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Unzipped ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Walk in the Clouds, A ",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Waterworld ,1995,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
White Man's Burden ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wild Bill ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Browning Version, The ",1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bushwhacked ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burnt By the Sun Utomlyonnye solntsem ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Before the Rain Pred dozhdot ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Before Sunrise ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Billy Madison ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Babysitter, The ",1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Boys on the Side ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Cure, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Castle Freak ,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Circle of Friends ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Clerks ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Don Juan DeMarco ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Disclosure ,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dream Man ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Drop Zone ,1994,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Destiny Turns on the Radio ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Death and the Maiden ,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dolores Claiborne ,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dumb & Dumber ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eat Drink Man Woman ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Exotica ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Exit to Eden ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ed Wood ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
French Kiss ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Forget Paris ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Far From Home: The Adventures of Yellow Dog ,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Goofy Movie, A ",1995,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Hideaway ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Fluke ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Farinelli: il castrato ,1994,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Gordy ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gumby: The Movie ,1995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Glass Shield, The ",1994,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hoop Dreams ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Heavenly Creatures ,1994,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Houseguest ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Immortal Beloved ,1994,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Heavyweights ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Hunted, The ",1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
I.Q. ,1994,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Interview with the Vampire ,1994,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Jefferson in Paris ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Jerky Boys, The ",1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Junior ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Just Cause ,1995,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
"Kid in King Arthur's Court, A ",1995,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
Kiss of Death ,1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Star Wars: Episode IV  A New Hope ,1977,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
Little Women ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Little Princess, A ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ladybird Ladybird ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Enfer, L' ",1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Like Water for Chocolate Como agua para chocolate ,1992,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Legends of the Fall ,1994,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
Major Payne ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Little Odessa ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My Crazy Life Mi vida loca ,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Love Affair ,1994,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Losing Isaiah ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Madness of King George, The ",1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mary Shelley's Frankenstein ,1994,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Man of the House ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mixed Nuts ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Milk Money ,1994,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Miracle on th Street ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Miami Rhapsody ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My Family ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Murder in the First ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nobody's Fool ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nell ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
New Jersey Drive ,1995,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
New York Cop ,1996,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Beyond Bedlam ,1993,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Nemesis : Nebula ,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
Nina Takes a Lover ,1994,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Natural Born Killers ,1994,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Only You ,1994,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Once Were Warriors ,1994,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Poison Ivy II ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Outbreak ,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
"Professional, The a.k.a. Leon: The Professional ",1994,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
"Perez Family, The ",1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Pyromaniac's Love Story, A ",1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Pulp Fiction ,1994,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Panther ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pushing Hands ,1992,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Priest ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quiz Show ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Picture Bride ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Queen Margot La Reine Margot ,1994,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Quick and the Dead, The ",1995,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
Roommates ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ready to Wear PretAPorter ,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Three Colors: Red ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Three Colors: Blue ,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Three Colors: White ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
