"IsDepDelayed","fYear","fMonth","fDayofMonth","fDayOfWeek","UniqueCarrier","Origin","Dest","Distance"
"YES","f1987","f10","f4","f7","PS","BUR","OAK",325
"NO","f1987","f10","f5","f1","PS","BUR","OAK",325
"YES","f1987","f10","f7","f3","PS","BUR","OAK",325
"YES","f1987","f10","f8","f4","PS","BUR","OAK",325
"YES","f1987","f10","f9","f5","PS","BUR","OAK",325
"NO","f1987","f10","f11","f7","PS","BUR","OAK",325
"YES","f1987","f10","f14","f3","PS","BUR","OAK",325
"YES","f1987","f10","f15","f4","PS","BUR","OAK",325
"YES","f1987","f10","f16","f5","PS","BUR","OAK",325
"YES","f1987","f10","f19","f1","PS","BUR","OAK",325
"YES","f1987","f10","f20","f2","PS","BUR","OAK",325
"NO","f1987","f10","f21","f3","PS","BUR","OAK",325
"YES","f1987","f10","f22","f4","PS","BUR","OAK",325
"YES","f1987","f10","f23","f5","PS","BUR","OAK",325
"YES","f1987","f10","f25","f7","PS","BUR","OAK",325
"YES","f1987","f10","f26","f1","PS","BUR","OAK",325
"YES","f1987","f10","f27","f2","PS","BUR","OAK",325
"NO","f1987","f10","f28","f3","PS","BUR","OAK",325
"NO","f1987","f10","f29","f4","PS","BUR","OAK",325
"YES","f1987","f10","f30","f5","PS","BUR","OAK",325
"YES","f1987","f10","f1","f4","PS","OAK","BUR",325
"NO","f1987","f10","f2","f5","PS","OAK","BUR",325
"NO","f1987","f10","f3","f6","PS","OAK","BUR",325
"YES","f1987","f10","f4","f7","PS","OAK","BUR",325
"NO","f1987","f10","f6","f2","PS","OAK","BUR",325
"NO","f1987","f10","f7","f3","PS","OAK","BUR",325
"YES","f1987","f10","f8","f4","PS","OAK","BUR",325
"NO","f1987","f10","f10","f6","PS","OAK","BUR",325
"NO","f1987","f10","f11","f7","PS","OAK","BUR",325
"YES","f1987","f10","f13","f2","PS","OAK","BUR",325
"YES","f1987","f10","f14","f3","PS","OAK","BUR",325
"YES","f1987","f10","f15","f4","PS","OAK","BUR",325
"YES","f1987","f10","f16","f5","PS","OAK","BUR",325
"NO","f1987","f10","f17","f6","PS","OAK","BUR",325
"YES","f1987","f10","f20","f2","PS","OAK","BUR",325
"YES","f1987","f10","f21","f3","PS","OAK","BUR",325
"YES","f1987","f10","f22","f4","PS","OAK","BUR",325
"YES","f1987","f10","f23","f5","PS","OAK","BUR",325
"NO","f1987","f10","f24","f6","PS","OAK","BUR",325
"YES","f1987","f10","f25","f7","PS","OAK","BUR",325
"YES","f1987","f10","f27","f2","PS","OAK","BUR",325
"YES","f1987","f10","f31","f6","PS","BUR","OAK",325
"YES","f1987","f10","f1","f4","PS","LAX","SFO",337
"YES","f1987","f10","f2","f5","PS","LAX","SFO",337
"YES","f1987","f10","f5","f1","PS","LAX","SFO",337
"YES","f1987","f10","f8","f4","PS","LAX","SFO",337
"YES","f1987","f10","f13","f2","PS","LAX","SFO",337
"YES","f1987","f10","f15","f4","PS","LAX","SFO",337
"YES","f1987","f10","f16","f5","PS","LAX","SFO",337
"YES","f1987","f10","f19","f1","PS","LAX","SFO",337
"YES","f1987","f10","f20","f2","PS","LAX","SFO",337
"YES","f1987","f10","f23","f5","PS","LAX","SFO",337
"YES","f1987","f10","f26","f1","PS","LAX","SFO",337
"YES","f1987","f10","f29","f4","PS","LAX","SFO",337
"YES","f1987","f10","f30","f5","PS","LAX","SFO",337
"YES","f1987","f10","f1","f4","PS","PHX","LAX",370
"YES","f1987","f10","f3","f6","PS","PHX","LAX",370
"YES","f1987","f10","f5","f1","PS","PHX","LAX",370
"YES","f1987","f10","f6","f2","PS","PHX","LAX",370
"YES","f1987","f10","f7","f3","PS","PHX","LAX",370
"YES","f1987","f10","f9","f5","PS","PHX","LAX",370
"YES","f1987","f10","f10","f6","PS","PHX","LAX",370
"YES","f1987","f10","f12","f1","PS","PHX","LAX",370
"YES","f1987","f10","f13","f2","PS","PHX","LAX",370
"YES","f1987","f10","f14","f3","PS","PHX","LAX",370
"YES","f1987","f10","f15","f4","PS","PHX","LAX",370
"YES","f1987","f10","f17","f6","PS","PHX","LAX",370
"YES","f1987","f10","f19","f1","PS","PHX","LAX",370
"YES","f1987","f10","f20","f2","PS","PHX","LAX",370
"NO","f1987","f10","f21","f3","PS","PHX","LAX",370
"YES","f1987","f10","f22","f4","PS","PHX","LAX",370
"YES","f1987","f10","f23","f5","PS","PHX","LAX",370
"YES","f1987","f10","f24","f6","PS","PHX","LAX",370
"YES","f1987","f10","f26","f1","PS","PHX","LAX",370
"NO","f1987","f10","f27","f2","PS","PHX","LAX",370
"YES","f1987","f10","f28","f3","PS","PHX","LAX",370
"NO","f1987","f10","f29","f4","PS","PHX","LAX",370
"NO","f1987","f10","f30","f5","PS","PHX","LAX",370
"YES","f1987","f10","f1","f4","PS","LAX","SFO",337
"NO","f1987","f10","f2","f5","PS","LAX","SFO",337
"YES","f1987","f10","f3","f6","PS","LAX","SFO",337
"YES","f1987","f10","f4","f7","PS","LAX","SFO",337
"YES","f1987","f10","f5","f1","PS","LAX","SFO",337
"YES","f1987","f10","f6","f2","PS","LAX","SFO",337
"NO","f1987","f10","f10","f6","PS","LAX","SFO",337
"YES","f1987","f10","f12","f1","PS","LAX","SFO",337
"YES","f1987","f10","f13","f2","PS","LAX","SFO",337
"YES","f1987","f10","f14","f3","PS","LAX","SFO",337
"YES","f1987","f10","f15","f4","PS","LAX","SFO",337
"YES","f1987","f10","f16","f5","PS","LAX","SFO",337
"NO","f1987","f10","f17","f6","PS","LAX","SFO",337
"NO","f1987","f10","f18","f7","PS","LAX","SFO",337
"YES","f1987","f10","f19","f1","PS","LAX","SFO",337
"YES","f1987","f10","f20","f2","PS","LAX","SFO",337
"YES","f1987","f10","f21","f3","PS","LAX","SFO",337
"NO","f1987","f10","f22","f4","PS","LAX","SFO",337
"YES","f1987","f10","f23","f5","PS","LAX","SFO",337
"YES","f1987","f10","f24","f6","PS","LAX","SFO",337
"NO","f1987","f10","f25","f7","PS","LAX","SFO",337
"YES","f1987","f10","f26","f1","PS","LAX","SFO",337
"YES","f1987","f10","f27","f2","PS","LAX","SFO",337
"NO","f1987","f10","f28","f3","PS","LAX","SFO",337
"YES","f1987","f10","f31","f6","PS","LAX","SFO",337
"YES","f1987","f10","f1","f4","PS","SFO","PDX",550
"YES","f1987","f10","f2","f5","PS","SFO","PDX",550
"NO","f1987","f10","f4","f7","PS","SFO","PDX",550
"YES","f1987","f10","f5","f1","PS","SFO","PDX",550
"YES","f1987","f10","f6","f2","PS","SFO","PDX",550
"NO","f1987","f10","f10","f6","PS","SFO","PDX",550
"NO","f1987","f10","f12","f1","PS","SFO","PDX",550
"YES","f1987","f10","f13","f2","PS","SFO","PDX",550
"YES","f1987","f10","f14","f3","PS","SFO","PDX",550
"YES","f1987","f10","f15","f4","PS","SFO","PDX",550
"YES","f1987","f10","f16","f5","PS","SFO","PDX",550
"NO","f1987","f10","f17","f6","PS","SFO","PDX",550
"NO","f1987","f10","f18","f7","PS","SFO","PDX",550
"YES","f1987","f10","f19","f1","PS","SFO","PDX",550
"NO","f1987","f10","f21","f3","PS","SFO","PDX",550
"YES","f1987","f10","f22","f4","PS","SFO","PDX",550
"NO","f1987","f10","f24","f6","PS","SFO","PDX",550
"YES","f1987","f10","f26","f1","PS","SFO","PDX",550
"NO","f1987","f10","f27","f2","PS","SFO","PDX",550
"NO","f1987","f10","f1","f4","PS","OAK","BUR",325
"YES","f1987","f10","f2","f5","PS","OAK","BUR",325
"YES","f1987","f10","f4","f7","PS","OAK","BUR",325
"NO","f1987","f10","f5","f1","PS","OAK","BUR",325
"NO","f1987","f10","f6","f2","PS","OAK","BUR",325
"YES","f1987","f10","f8","f4","PS","OAK","BUR",325
"NO","f1987","f10","f9","f5","PS","OAK","BUR",325
"NO","f1987","f10","f10","f6","PS","OAK","BUR",325
"YES","f1987","f10","f11","f7","PS","OAK","BUR",325
"NO","f1987","f10","f13","f2","PS","OAK","BUR",325
"YES","f1987","f10","f14","f3","PS","OAK","BUR",325
"YES","f1987","f10","f15","f4","PS","OAK","BUR",325
"NO","f1987","f10","f17","f6","PS","OAK","BUR",325
"NO","f1987","f10","f18","f7","PS","OAK","BUR",325
"YES","f1987","f10","f19","f1","PS","OAK","BUR",325
"NO","f1987","f10","f20","f2","PS","OAK","BUR",325
"NO","f1987","f10","f21","f3","PS","OAK","BUR",325
"YES","f1987","f10","f22","f4","PS","OAK","BUR",325
"YES","f1987","f10","f23","f5","PS","OAK","BUR",325
"NO","f1987","f10","f24","f6","PS","OAK","BUR",325
"NO","f1987","f10","f25","f7","PS","OAK","BUR",325
"NO","f1987","f10","f26","f1","PS","OAK","BUR",325
"NO","f1987","f10","f28","f3","PS","OAK","BUR",325
"YES","f1987","f10","f29","f4","PS","OAK","BUR",325
"NO","f1987","f10","f30","f5","PS","OAK","BUR",325
"NO","f1987","f10","f31","f6","PS","OAK","BUR",325
"YES","f1987","f10","f1","f4","PS","BUR","OAK",325
"YES","f1987","f10","f2","f5","PS","BUR","OAK",325
"NO","f1987","f10","f3","f6","PS","BUR","OAK",325
"YES","f1987","f10","f4","f7","PS","BUR","OAK",325
"NO","f1987","f10","f5","f1","PS","BUR","OAK",325
"NO","f1987","f10","f6","f2","PS","BUR","OAK",325
"NO","f1987","f10","f7","f3","PS","BUR","OAK",325
"YES","f1987","f10","f8","f4","PS","BUR","OAK",325
"YES","f1987","f10","f9","f5","PS","BUR","OAK",325
"NO","f1987","f10","f10","f6","PS","BUR","OAK",325
"NO","f1987","f10","f11","f7","PS","BUR","OAK",325
"NO","f1987","f10","f12","f1","PS","BUR","OAK",325
"YES","f1987","f10","f14","f3","PS","BUR","OAK",325
"YES","f1987","f10","f15","f4","PS","BUR","OAK",325
"YES","f1987","f10","f16","f5","PS","BUR","OAK",325
"NO","f1987","f10","f17","f6","PS","BUR","OAK",325
"NO","f1987","f10","f19","f1","PS","BUR","OAK",325
"YES","f1987","f10","f20","f2","PS","BUR","OAK",325
"YES","f1987","f10","f21","f3","PS","BUR","OAK",325
"YES","f1987","f10","f22","f4","PS","BUR","OAK",325
"YES","f1987","f10","f23","f5","PS","BUR","OAK",325
"YES","f1987","f10","f24","f6","PS","BUR","OAK",325
"YES","f1987","f10","f25","f7","PS","BUR","OAK",325
"YES","f1987","f10","f28","f3","PS","BUR","OAK",325
"YES","f1987","f10","f29","f4","PS","BUR","OAK",325
"YES","f1987","f10","f30","f5","PS","BUR","OAK",325
"NO","f1987","f10","f31","f6","PS","BUR","OAK",325
"YES","f1987","f10","f28","f3","PS","SJC","BUR",296
"YES","f1987","f10","f29","f4","PS","SJC","BUR",296
"YES","f1987","f10","f30","f5","PS","SJC","BUR",296
"YES","f1987","f10","f1","f4","PS","BUR","OAK",325
"YES","f1987","f10","f4","f7","PS","BUR","OAK",325
"NO","f1987","f10","f6","f2","PS","BUR","OAK",325
"NO","f1987","f10","f7","f3","PS","BUR","OAK",325
"YES","f1987","f10","f8","f4","PS","BUR","OAK",325
"YES","f1987","f10","f9","f5","PS","BUR","OAK",325
"YES","f1987","f10","f11","f7","PS","BUR","OAK",325
"NO","f1987","f10","f12","f1","PS","BUR","OAK",325
"NO","f1987","f10","f13","f2","PS","BUR","OAK",325
"NO","f1987","f10","f14","f3","PS","BUR","OAK",325
"NO","f1987","f10","f15","f4","PS","BUR","OAK",325
"YES","f1987","f10","f18","f7","PS","BUR","OAK",325
"NO","f1987","f10","f19","f1","PS","BUR","OAK",325
"NO","f1987","f10","f20","f2","PS","BUR","OAK",325
"NO","f1987","f10","f21","f3","PS","BUR","OAK",325
"YES","f1987","f10","f23","f5","PS","BUR","OAK",325
"YES","f1987","f10","f25","f7","PS","BUR","OAK",325
"NO","f1987","f10","f26","f1","PS","BUR","OAK",325
"YES","f1987","f10","f27","f2","PS","BUR","OAK",325
"YES","f1987","f10","f28","f3","PS","BUR","OAK",325
"YES","f1987","f10","f29","f4","PS","BUR","OAK",325
"YES","f1987","f10","f30","f5","PS","BUR","OAK",325
"NO","f1987","f10","f1","f4","PS","SFO","SAN",447
"YES","f1987","f10","f6","f2","PS","SFO","SAN",447
"NO","f1987","f10","f7","f3","PS","SFO","SAN",447
"NO","f1987","f10","f8","f4","PS","SFO","SAN",447
"YES","f1987","f10","f9","f5","PS","SFO","SAN",447
"YES","f1987","f10","f12","f1","PS","SFO","SAN",447
"NO","f1987","f10","f13","f2","PS","SFO","SAN",447
"NO","f1987","f10","f14","f3","PS","SFO","SAN",447
"NO","f1987","f10","f15","f4","PS","SFO","SAN",447
"YES","f1987","f10","f16","f5","PS","SFO","SAN",447
"YES","f1987","f10","f19","f1","PS","SFO","SAN",447
"NO","f1987","f10","f20","f2","PS","SFO","SAN",447
"YES","f1987","f10","f21","f3","PS","SFO","SAN",447
"NO","f1987","f10","f26","f1","PS","SFO","SAN",447
"NO","f1987","f10","f27","f2","PS","SFO","SAN",447
"NO","f1987","f10","f28","f3","PS","SFO","SAN",447
"YES","f1987","f10","f29","f4","PS","SFO","SAN",447
"YES","f1987","f10","f30","f5","PS","SFO","SAN",447
"NO","f1987","f10","f1","f4","PS","SAN","OAK",446
"YES","f1987","f10","f5","f1","PS","SAN","OAK",446
"YES","f1987","f10","f6","f2","PS","SAN","OAK",446
"YES","f1987","f10","f8","f4","PS","SAN","OAK",446
"NO","f1987","f10","f12","f1","PS","SAN","OAK",446
"NO","f1987","f10","f13","f2","PS","SAN","OAK",446
"YES","f1987","f10","f14","f3","PS","SAN","OAK",446
"YES","f1987","f10","f15","f4","PS","SAN","OAK",446
"YES","f1987","f10","f19","f1","PS","SAN","OAK",446
"NO","f1987","f10","f20","f2","PS","SAN","OAK",446
"NO","f1987","f10","f21","f3","PS","SAN","OAK",446
"NO","f1987","f10","f22","f4","PS","SAN","OAK",446
"NO","f1987","f10","f23","f5","PS","SAN","OAK",446
"YES","f1987","f10","f26","f1","PS","SAN","OAK",446
"NO","f1987","f10","f28","f3","PS","SAN","OAK",446
"NO","f1987","f10","f30","f5","PS","SAN","OAK",446
"YES","f1987","f10","f1","f4","PS","OAK","SAN",446
"NO","f1987","f10","f2","f5","PS","OAK","SAN",446
"NO","f1987","f10","f3","f6","PS","OAK","SAN",446
"YES","f1987","f10","f5","f1","PS","OAK","SAN",446
"YES","f1987","f10","f6","f2","PS","OAK","SAN",446
"YES","f1987","f10","f8","f4","PS","OAK","SAN",446
"NO","f1987","f10","f9","f5","PS","OAK","SAN",446
"NO","f1987","f10","f10","f6","PS","OAK","SAN",446
"NO","f1987","f10","f12","f1","PS","OAK","SAN",446
"YES","f1987","f10","f13","f2","PS","OAK","SAN",446
"YES","f1987","f10","f14","f3","PS","OAK","SAN",446
"NO","f1987","f10","f15","f4","PS","OAK","SAN",446
"NO","f1987","f10","f16","f5","PS","OAK","SAN",446
"NO","f1987","f10","f17","f6","PS","OAK","SAN",446
"NO","f1987","f10","f19","f1","PS","OAK","SAN",446
"NO","f1987","f10","f20","f2","PS","OAK","SAN",446
"NO","f1987","f10","f21","f3","PS","OAK","SAN",446
"NO","f1987","f10","f22","f4","PS","OAK","SAN",446
"NO","f1987","f10","f23","f5","PS","OAK","SAN",446
"YES","f1987","f10","f24","f6","PS","OAK","SAN",446
"NO","f1987","f10","f26","f1","PS","OAK","SAN",446
"NO","f1987","f10","f27","f2","PS","OAK","SAN",446
"NO","f1987","f10","f28","f3","PS","OAK","SAN",446
"NO","f1987","f10","f30","f5","PS","OAK","SAN",446
"YES","f1987","f10","f4","f7","PS","LAX","SFO",337
"YES","f1987","f10","f5","f1","PS","LAX","SFO",337
"YES","f1987","f10","f6","f2","PS","LAX","SFO",337
"YES","f1987","f10","f7","f3","PS","LAX","SFO",337
"YES","f1987","f10","f8","f4","PS","LAX","SFO",337
"YES","f1987","f10","f9","f5","PS","LAX","SFO",337
"YES","f1987","f10","f11","f7","PS","LAX","SFO",337
"YES","f1987","f10","f13","f2","PS","LAX","SFO",337
"YES","f1987","f10","f15","f4","PS","LAX","SFO",337
"YES","f1987","f10","f16","f5","PS","LAX","SFO",337
"YES","f1987","f10","f18","f7","PS","LAX","SFO",337
"NO","f1987","f10","f19","f1","PS","LAX","SFO",337
"YES","f1987","f10","f20","f2","PS","LAX","SFO",337
"YES","f1987","f10","f21","f3","PS","LAX","SFO",337
"YES","f1987","f10","f22","f4","PS","LAX","SFO",337
"YES","f1987","f10","f23","f5","PS","LAX","SFO",337
"NO","f1987","f10","f25","f7","PS","LAX","SFO",337
"YES","f1987","f10","f27","f2","PS","LAX","SFO",337
"YES","f1987","f10","f28","f3","PS","LAX","SFO",337
"YES","f1987","f10","f30","f5","PS","LAX","SFO",337
"YES","f1987","f10","f31","f6","PS","LAX","SFO",337
"NO","f1987","f10","f3","f6","PS","OAK","SAN",446
"NO","f1987","f10","f10","f6","PS","OAK","SAN",446
"NO","f1987","f10","f17","f6","PS","OAK","SAN",446
"NO","f1987","f10","f24","f6","PS","OAK","SAN",446
"YES","f1987","f10","f31","f6","PS","OAK","SAN",446
"YES","f1987","f10","f28","f3","PS","LAS","SAN",258
"YES","f1987","f10","f29","f4","PS","LAS","SAN",258
"YES","f1987","f10","f30","f5","PS","LAS","SAN",258
"NO","f1987","f10","f31","f6","PS","LAS","SAN",258
"NO","f1987","f10","f1","f4","PS","SAN","OAK",446
"YES","f1987","f10","f2","f5","PS","SAN","OAK",446
"NO","f1987","f10","f3","f6","PS","SAN","OAK",446
"YES","f1987","f10","f4","f7","PS","SAN","OAK",446
"NO","f1987","f10","f5","f1","PS","SAN","OAK",446
"NO","f1987","f10","f6","f2","PS","SAN","OAK",446
"NO","f1987","f10","f7","f3","PS","SAN","OAK",446
"NO","f1987","f10","f8","f4","PS","SAN","OAK",446
"NO","f1987","f10","f10","f6","PS","SAN","OAK",446
"YES","f1987","f10","f11","f7","PS","SAN","OAK",446
"NO","f1987","f10","f12","f1","PS","SAN","OAK",446
"NO","f1987","f10","f13","f2","PS","SAN","OAK",446
"NO","f1987","f10","f14","f3","PS","SAN","OAK",446
"NO","f1987","f10","f15","f4","PS","SAN","OAK",446
"NO","f1987","f10","f16","f5","PS","SAN","OAK",446
"NO","f1987","f10","f17","f6","PS","SAN","OAK",446
"NO","f1987","f10","f21","f3","PS","SAN","OAK",446
"YES","f1987","f10","f22","f4","PS","SAN","OAK",446
"NO","f1987","f10","f23","f5","PS","SAN","OAK",446
"NO","f1987","f10","f24","f6","PS","SAN","OAK",446
"NO","f1987","f10","f25","f7","PS","SAN","OAK",446
"NO","f1987","f10","f26","f1","PS","SAN","OAK",446
"NO","f1987","f10","f27","f2","PS","SAN","OAK",446
"NO","f1987","f10","f28","f3","PS","SAN","OAK",446
"YES","f1987","f10","f29","f4","PS","SAN","OAK",446
"NO","f1987","f10","f30","f5","PS","SAN","OAK",446
"NO","f1987","f10","f31","f6","PS","SAN","OAK",446
"NO","f1987","f10","f1","f4","PS","OAK","SAN",446
"YES","f1987","f10","f2","f5","PS","OAK","SAN",446
"NO","f1987","f10","f5","f1","PS","OAK","SAN",446
"NO","f1987","f10","f6","f2","PS","OAK","SAN",446
"NO","f1987","f10","f7","f3","PS","OAK","SAN",446
"YES","f1987","f10","f8","f4","PS","OAK","SAN",446
"YES","f1987","f10","f9","f5","PS","OAK","SAN",446
"YES","f1987","f10","f11","f7","PS","OAK","SAN",446
"NO","f1987","f10","f13","f2","PS","OAK","SAN",446
"YES","f1987","f10","f14","f3","PS","OAK","SAN",446
"NO","f1987","f10","f15","f4","PS","OAK","SAN",446
"YES","f1987","f10","f16","f5","PS","OAK","SAN",446
"NO","f1987","f10","f19","f1","PS","OAK","SAN",446
"NO","f1987","f10","f20","f2","PS","OAK","SAN",446
"YES","f1987","f10","f22","f4","PS","OAK","SAN",446
"YES","f1987","f10","f23","f5","PS","OAK","SAN",446
"YES","f1987","f10","f25","f7","PS","OAK","SAN",446
"NO","f1987","f10","f26","f1","PS","OAK","SAN",446
"NO","f1987","f10","f27","f2","PS","OAK","SAN",446
"NO","f1987","f10","f28","f3","PS","OAK","SAN",446
"NO","f1987","f10","f29","f4","PS","OAK","SAN",446
"NO","f1987","f10","f30","f5","PS","OAK","SAN",446
"YES","f1987","f10","f1","f4","PS","LAX","SFO",337
"YES","f1987","f10","f2","f5","PS","LAX","SFO",337
"YES","f1987","f10","f4","f7","PS","LAX","SFO",337
"YES","f1987","f10","f5","f1","PS","LAX","SFO",337
"YES","f1987","f10","f6","f2","PS","LAX","SFO",337
"NO","f1987","f10","f7","f3","PS","LAX","SFO",337
"YES","f1987","f10","f9","f5","PS","LAX","SFO",337
"YES","f1987","f10","f11","f7","PS","LAX","SFO",337
"YES","f1987","f10","f12","f1","PS","LAX","SFO",337
"YES","f1987","f10","f13","f2","PS","LAX","SFO",337
"YES","f1987","f10","f14","f3","PS","LAX","SFO",337
"YES","f1987","f10","f16","f5","PS","LAX","SFO",337
"NO","f1987","f10","f19","f1","PS","LAX","SFO",337
"YES","f1987","f10","f20","f2","PS","LAX","SFO",337
"NO","f1987","f10","f21","f3","PS","LAX","SFO",337
"YES","f1987","f10","f22","f4","PS","LAX","SFO",337
"YES","f1987","f10","f23","f5","PS","LAX","SFO",337
"YES","f1987","f10","f25","f7","PS","LAX","SFO",337
"YES","f1987","f10","f26","f1","PS","LAX","SFO",337
"NO","f1987","f10","f27","f2","PS","LAX","SFO",337
"NO","f1987","f10","f2","f5","PS","OAK","SAN",446
"NO","f1987","f10","f4","f7","PS","OAK","SAN",446
"NO","f1987","f10","f5","f1","PS","OAK","SAN",446
"NO","f1987","f10","f6","f2","PS","OAK","SAN",446
"NO","f1987","f10","f7","f3","PS","OAK","SAN",446
"NO","f1987","f10","f8","f4","PS","OAK","SAN",446
"NO","f1987","f10","f9","f5","PS","OAK","SAN",446
"NO","f1987","f10","f10","f6","PS","OAK","SAN",446
"NO","f1987","f10","f11","f7","PS","OAK","SAN",446
"NO","f1987","f10","f12","f1","PS","OAK","SAN",446
"YES","f1987","f10","f13","f2","PS","OAK","SAN",446
"NO","f1987","f10","f14","f3","PS","OAK","SAN",446
"NO","f1987","f10","f15","f4","PS","OAK","SAN",446
"NO","f1987","f10","f16","f5","PS","OAK","SAN",446
"NO","f1987","f10","f17","f6","PS","OAK","SAN",446
"NO","f1987","f10","f19","f1","PS","OAK","SAN",446
"NO","f1987","f10","f20","f2","PS","OAK","SAN",446
"NO","f1987","f10","f21","f3","PS","OAK","SAN",446
"YES","f1987","f10","f22","f4","PS","OAK","SAN",446
"YES","f1987","f10","f23","f5","PS","OAK","SAN",446
"NO","f1987","f10","f24","f6","PS","OAK","SAN",446
"NO","f1987","f10","f25","f7","PS","OAK","SAN",446
"NO","f1987","f10","f26","f1","PS","OAK","SAN",446
"NO","f1987","f10","f27","f2","PS","OAK","SAN",446
"NO","f1987","f10","f28","f3","PS","OAK","SAN",446
"YES","f1987","f10","f29","f4","PS","OAK","SAN",446
"NO","f1987","f10","f30","f5","PS","OAK","SAN",446
"NO","f1987","f10","f28","f3","PS","SAN","LAS",258
"YES","f1987","f10","f29","f4","PS","SAN","LAS",258
"NO","f1987","f10","f31","f6","PS","SAN","LAS",258
"YES","f1987","f10","f1","f4","PS","SAN","OAK",446
"NO","f1987","f10","f2","f5","PS","SAN","OAK",446
"NO","f1987","f10","f4","f7","PS","SAN","OAK",446
"NO","f1987","f10","f5","f1","PS","SAN","OAK",446
"NO","f1987","f10","f6","f2","PS","SAN","OAK",446
"NO","f1987","f10","f8","f4","PS","SAN","OAK",446
"NO","f1987","f10","f9","f5","PS","SAN","OAK",446
"YES","f1987","f10","f11","f7","PS","SAN","OAK",446
"YES","f1987","f10","f12","f1","PS","SAN","OAK",446
"NO","f1987","f10","f13","f2","PS","SAN","OAK",446
"NO","f1987","f10","f14","f3","PS","SAN","OAK",446
"YES","f1987","f10","f15","f4","PS","SAN","OAK",446
"YES","f1987","f10","f16","f5","PS","SAN","OAK",446
"NO","f1987","f10","f18","f7","PS","SAN","OAK",446
"YES","f1987","f10","f21","f3","PS","SAN","OAK",446
"NO","f1987","f10","f22","f4","PS","SAN","OAK",446
"NO","f1987","f10","f23","f5","PS","SAN","OAK",446
"NO","f1987","f10","f25","f7","PS","SAN","OAK",446
"YES","f1987","f10","f26","f1","PS","SAN","OAK",446
"NO","f1987","f10","f27","f2","PS","SAN","OAK",446
"NO","f1987","f10","f29","f4","PS","SAN","OAK",446
"NO","f1987","f10","f30","f5","PS","SAN","OAK",446
"YES","f1987","f10","f1","f4","PS","SFO","SAN",447
"YES","f1987","f10","f4","f7","PS","SFO","SAN",447
"YES","f1987","f10","f6","f2","PS","SFO","SAN",447
"YES","f1987","f10","f7","f3","PS","SFO","SAN",447
"YES","f1987","f10","f8","f4","PS","SFO","SAN",447
"YES","f1987","f10","f11","f7","PS","SFO","SAN",447
"YES","f1987","f10","f12","f1","PS","SFO","SAN",447
"YES","f1987","f10","f13","f2","PS","SFO","SAN",447
"YES","f1987","f10","f15","f4","PS","SFO","SAN",447
"YES","f1987","f10","f16","f5","PS","SFO","SAN",447
"YES","f1987","f10","f18","f7","PS","SFO","SAN",447
"YES","f1987","f10","f19","f1","PS","SFO","SAN",447
