SN,Name,Type,Year,Animation,Comedy,Crime,Fantasy,Action,Thriller,Romance,Family,Adventure,Mystery,Horror,Musical,War,Western,Sci-Fi,Film-Noir
25,Leaving Las Vegas (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,Othello (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Now and Then (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Persuasion (1995),Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Dangerous Minds (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
33,Wings of Courage (1995),Adventure|Romance,1995,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
34,Babe (1995),Children's|Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Carrington (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
36,Dead Man Walking (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Across the Sea of Time (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,It Takes Two (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Clueless (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
40,"Cry, the Beloved Country (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Richard III (1995),Drama|War,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,Dead Presidents (1995),Action|Crime|Drama,1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
43,Restoration (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Mortal Kombat (1995),Action|Adventure,1995,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
45,To Die For (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,How to Make an American Quilt (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,Seven (Se7en) (1995),Crime|Thriller,1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
49,When Night Is Falling (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
50,"Usual Suspects, The (1995)",Crime|Thriller,1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
51,Guardian Angel (1994),Action|Drama|Thriller,1994,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
52,Mighty Aphrodite (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Lamerica (1994),Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,"Big Green, The (1995)",Children's|Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Georgia (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
57,Home for the Holidays (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,1995,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1995,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
61,Eye for an Eye (1996),Drama|Thriller,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
62,Mr. Holland's Opus (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,Two if by Sea (1996),Comedy|Romance,1996,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
65,Bio-Dome (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
67,Two Bits (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
69,Friday (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1996,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False
71,Fair Game (1995),Action,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
72,Kicking and Screaming (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,"Mis�rables, Les (1995)",Drama|Musical,1995,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
74,Bed of Roses (1996),Drama|Romance,1996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
75,Big Bully (1996),Comedy|Drama,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,Screamers (1995),Sci-Fi|Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
77,Nico Icon (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,"Crossing Guard, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,"Juror, The (1996)",Drama|Thriller,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,1995,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
82,Antonia's Line (Antonia) (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,Once Upon a Time... When We Were Colored (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,Last Summer in the Hamptons (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,Angels and Insects (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
86,White Squall (1996),Adventure|Drama,1996,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
87,Dunston Checks In (1996),Children's|Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Black Sheep (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,Nick of Time (1995),Action|Thriller,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
90,"Journey of August King, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,Mary Reilly (1996),Drama|Thriller,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
93,Vampire in Brooklyn (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
94,Beautiful Girls (1996),Drama,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,Broken Arrow (1996),Action|Thriller,1996,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
96,In the Bleak Midwinter (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,"Hate (Haine, La) (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,Shopping (1994),Action|Thriller,1994,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,City Hall (1996),Drama|Thriller,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
101,Bottle Rocket (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,Mr. Wrong (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,Unforgettable (1996),Thriller,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
104,Happy Gilmore (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,1996,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
108,Catwalk (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,Headless Body in Topless Bar (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,Braveheart (1995),Action|Drama|War,1995,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
111,Taxi Driver (1976),Drama|Thriller,1976,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
112,Rumble in the Bronx (1995),Action|Adventure|Crime,1995,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
113,Before and After (1996),Drama|Mystery,1996,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
114,Margaret's Museum (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,Happiness Is in the Field (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,Anne Frank Remembered (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,"Young Poisoner's Handbook, The (1995)",Crime,1995,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
118,If Lucy Fell (1996),Comedy|Romance,1996,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
119,"Steal Big, Steal Little (1995)",Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,Race the Sun (1996),Drama,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,"Boys of St. Vincent, The (1993)",Drama,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122,Boomerang (1992),Comedy|Romance,1992,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
123,Chungking Express (1994),Drama|Mystery|Romance,1994,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,Flirting With Disaster (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1994,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,Jupiter's Wife (1994),Documentary,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,Pie in the Sky (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
130,Angela (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,Frankie Starlight (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
132,Jade (1995),Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
133,Nueba Yol (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,Sonic Outlaws (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,Down Periscope (1996),Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,From the Journals of Jean Seberg (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
137,Man of the Year (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138,"Neon Bible, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,Target (1995),Action|Drama,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
140,Up Close and Personal (1996),Drama|Romance,1996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
141,"Birdcage, The (1996)",Comedy,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,Shadows (Cienie) (1988),Drama,1988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,Gospa (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,"Brothers McMullen, The (1995)",Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145,Bad Boys (1995),Action,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
147,"Basketball Diaries, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,"Awfully Big Adventure, An (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,Amateur (1994),Crime|Drama|Thriller,1994,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
150,Apollo 13 (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
151,Rob Roy (1995),Drama|Romance|War,1995,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
152,"Addiction, The (1995)",Horror,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
154,Belle de jour (1967),Drama,1967,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,Beyond Rangoon (1995),Drama|War,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
156,Blue in the Face (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,Canadian Bacon (1994),Comedy|War,1994,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
158,Casper (1995),Adventure|Children's,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
159,Clockers (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
161,Crimson Tide (1995),Drama|Thriller|War,1995,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
162,Crumb (1994),Documentary,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
163,Desperado (1995),Action|Romance|Thriller,1995,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
165,Die Hard: With a Vengeance (1995),Action|Thriller,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
166,"Doom Generation, The (1995)",Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,Feast of July (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168,First Knight (1995),Action|Adventure|Drama|Romance,1995,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
170,Hackers (1995),Action|Crime|Thriller,1995,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
171,Jeffrey (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,1995,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
174,Jury Duty (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,Kids (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
176,Living in Oblivion (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,Lord of Illusions (1995),Horror,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
178,Love & Human Remains (1993),Comedy,1993,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
179,Mad Love (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
180,Mallrats (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
182,Moonlight and Valentino (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
183,Mute Witness (1994),Thriller,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
184,Nadja (1994),Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,"Net, The (1995)",Sci-Fi|Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
186,Nine Months (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187,Party Girl (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
188,"Prophecy, The (1995)",Horror,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
189,Reckless (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190,Safe (1995),Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
191,"Scarlet Letter, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
192,"Show, The (1995)",Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
193,Showgirls (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
194,Smoke (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
196,Species (1995),Horror|Sci-Fi,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
197,"Stars Fell on Henrietta, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
198,Strange Days (1995),Action|Crime|Sci-Fi,1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,1964,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
200,"Tie That Binds, The (1995)",Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
201,Three Wishes (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
202,Total Eclipse (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
204,Under Siege 2: Dark Territory (1995),Action,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
205,Unstrung Heroes (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
206,Unzipped (1995),Documentary,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
208,Waterworld (1995),Action|Adventure,1995,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
209,White Man's Burden (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,Wild Bill (1995),Western,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
211,"Browning Version, The (1994)",Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212,Bushwhacked (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
214,Before the Rain (Pred dozhdot) (1994),Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215,Before Sunrise (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
216,Billy Madison (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,"Babysitter, The (1995)",Drama|Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
218,Boys on the Side (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
219,"Cure, The (1995)",Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,Castle Freak (1995),Horror,1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
222,Circle of Friends (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
223,Clerks (1994),Comedy,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
225,Disclosure (1994),Drama|Thriller,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
226,Dream Man (1995),Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
227,Drop Zone (1994),Action,1994,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
228,Destiny Turns on the Radio (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
229,Death and the Maiden (1994),Drama|Thriller,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
230,Dolores Claiborne (1994),Drama|Thriller,1994,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
231,Dumb & Dumber (1994),Comedy,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
232,Eat Drink Man Woman (1994),Comedy|Drama,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
233,Exotica (1994),Drama,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
234,Exit to Eden (1994),Comedy,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,Ed Wood (1994),Comedy|Drama,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,French Kiss (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
237,Forget Paris (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,1995,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
240,Hideaway (1995),Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
241,Fluke (1995),Children's|Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
242,Farinelli: il castrato (1994),Drama|Musical,1994,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
243,Gordy (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
244,Gumby: The Movie (1995),Animation|Children's,1995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
